Postcode,Suburb,Activity,YearsTrading,Aboriginal_TorresStrait,FullTime_Employees,PartTime_Employees,Casual_Employees,Impact_WFH,ComparisonTo_PreCovid,Forecast_12Months,HaveYouReduced_opening_hours,HaveYouReduced_employee_numbers,HaveYou_PermanentClosure_ShiftT,HaveYou_PermanentClosure_Shif_1,BusinessCapacity_FullOperationa,BusinessCapacity_IncreasedCapac,BusinessCapacity_other,EmployeeLocation,EmployeeLocationOther,DigitalServices_WebsiteChanges,DigitalServices_ECommerce_Onlin,DigitalServices_NewServices_Tel,DigitalServices_SocialMedia_Cam,DigitalServices_other,SupportRequired_NotSeeking,SupportRequired_FreeSkills_and_,SupportRequired_Communication_o,SupportRequired_Advocacy_forBus,SupportRequired_PrecinctMarketi,SupportRequired_PrecinctEvents_,SupportRequired_Education_on_Go,SupportRequired_waiving_Outdoor,SupportRequired_Government_Fees,SupportRequired_waiving_Governm,SupportRequired_business_suppor,SupportRequired_less_red_tape_a,SupportRequired_statutory_assis,SupportRequired_finding_employe,SupportRequired_other,AreasToStrengthen_12_18Months_s,AreasToStrengthen_12_18Months_1,AreasToStrengthen_12_18Months_c,AreasToStrengthen_12_18Months_2,AreasToStrengthen_12_18Months_a,AreasToStrengthen_12_18Months_e,AreasToStrengthen_12_18Months_d,AreasToStrengthen_12_18Months_m,AreasToStrengthen_12_18Months_p,AreasToStrengthen_12_18Months_3,AreasToStrengthen_12_18Months_4,AreasToStrengthen_12_18Months_5,AreasToStrengthen_12_18Months_b,AreasToStrengthen_12_18Months_6,AreasToStrengthen_12_18Months_r,AreasToStrengthen_12_18Months_o,PreferredFormat_BusinessEducati,PreferredFormat_BusinessEduca_1,FinancialComparison_to12Months_,FinancialComparisonForecast12Mo,AustralianEconomyForecast_12Mon,YourSustainabilityPractices_rec,YourSustainabilityPractices_gre,YourSustainabilityPractices_wat,YourSustainabilityPractices_Foo,YourSustainabilityPractices_net,YourSustainabilityPractices_non,YourSustainabilityPractices_tel,StrategiesToSupport_DiversityIn,StrategiesToSupport_Diversity_1,StrategiesToSupport_Diversity_2,StrategiesToSupport_Diversity_3,StrategiesToSupport_Diversity_4,StrategiesToSupport_Diversity_5,StrategiesToSupport_Diversity_6,StrategiesToSupport_Diversity_7,StrategiesToSupport_Aboriginal_,StrategiesToSupport_Aboriginal1,StrategiesToSupport_Aborigina_1,ContinuityPlan_Manage_FutureRis,industry_code,industry_description_cbi_sector,cbi_industry_sector,cbi_sub_sector,ObjectId
2015,Alexandria,Cafe,< 1,No,3,2,2,More customers buying coffee locally,Remained the same,Increase,,,,,Yes,,,Business premises,,Improved/expanded,Improved/expanded,No change,Improved/expanded,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,Online webinars or live streaming,,Better off,Better off,Worse off,Yes,Yes,,,,,,,Yes,,,,Yes,,,,No,,Don't know,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,466
2000,Sydney,Professional Services,6 to 10,No,13,,,Low team collaboration. Slow decline in work.,Remained the same,Increase,,,,,Yes,,,Split between locations (hybrid),,Improved/expanded,No change,No change,Improved/expanded,,,,,,,,,,,,,Yes,,,"We sell a lot internationally and interstate, need to stop other states putting up ""only local business"" trade restrictions",,,Yes,,,Yes,,,,Yes,,,,,,,Online webinars or live streaming,,Better off,Better off,Worse off,Yes,,,,,,carbon offsetting,,Yes,Yes,,,,,,,No,,Yes,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,467
2000,Sydney,Hotel,> 10,No,5,3,2,"Major effect on the business, closure until things recover.",Significantly decreased (more than 50% decline),Increase,Yes,Yes,,,,,,Other (please describe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400A,Hotels,"Tourist, Cultural and Leisure",Accommodation,468
2000,Haymarket,Professional Services,> 10,No,200,50,30,No detriment,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,No change,No change,No change,No change,,,,,,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,,Yes,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Worse off,Yes,Yes,Yes,,,,,Yes,Yes,,Yes,,,,,Yes,,Source indigenous supplies,Yes,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,469
2010,Surry Hills,Tile Retailer,> 10,No,4,,,Fewer customers coming to the store,Remained the same,Remain the same,,,,,Yes,,,Business premises,,No change,No change,No change,No change,,,,,,,,,,,,,Yes,,,Increase number of car spaces,,Yes,Yes,,,,Yes,,,,,,,,,,1:1 mentoring,,Better off,Worse off,Worse off,Yes,,,,,,,,,,,,,Yes,,,No,,Don't know,4212,Floor Coverings Retailing,Retail and Personal Services,Furniture & Carpet,470
2000,Sydney,Professional Services,> 10,No,10,2,1,"Positive experience for employees and the business.  Less time commuting for employees, better work life balance, reduction in their costs, and reduced sick leave.  For the business we have been able to more efficiently use expensive office space to enhance collaboration and improve productivity. For the economy, increased universal use of meeting technology has reduced in-city travel time between meetings, improving productivity.",Increased,Increase,,,,,Yes,,,Split between locations (hybrid),,No change,Improved/expanded,Improved/expanded,No change,,,,Yes,,,Yes,,,,,,,,Yes,,Yes,,Yes,,,Yes,Yes,,Yes,,,,,,,Export market development,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Better off,Yes,,,,,,,Yes,,Yes,,,,,,,No,,Yes,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,471
2000,Haymarket,Restaurant,1 to 5,Prefer not to say,6,3,,"Weekday sales for lunch and dinner has been effected. We have to rely on our weekend sales to break even every week. When it starts to rain, it just make it harder.",Remained the same,Increase,Yes,,,,,,,Business premises,,No change,Temporary,Temporary,Temporary,Mainly consolidating all delivery apps to just two delivery apps.,,,,,Yes,Yes,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Better off,Yes,,,Yes,,,,,,Yes,,,,,,,No,,Yes,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,472
2010,Surry Hills,Legal and Accounting,> 10,No,14,10,1,"no impacts, economy is fine",Decreased,Don't know,,Yes,,,Yes,,,Business premises,,New,New,New,New,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,,Online webinars or live streaming,,Better off,Better off,Worse off,Yes,,,,,,,Yes,Yes,Yes,,,,,,,No,,Don't know,6932,Accounting Services,Finance and Financial Services,Financial Services,473
2000,Sydney,Professional Services,1 to 5,No,1,,1,Skills shortage,Increased,Increase > 50%,,,,,,Yes,,Split between locations (hybrid),,Improved/expanded,No change,Improved/expanded,Improved/expanded,,,Yes,Yes,,Yes,Yes,Yes,,,,Yes,,,Yes,Networking with reps from large organisation who have power to make decisions for large amounts of teams in their org.,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,In-person events,,Better off,Better off,Worse off,,,,,,Yes,,Yes,,,,,,,,,No,,No,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,474
2009,Pyrmont,Property Development and Construction,> 10,No,20,,,Working from home is not suitable and has dampened brainstorming and spontaneous creative in the moment innovation,Remained the same,Decrease,,,,,Yes,,,Split between locations (hybrid),,No change,No change,Improved/expanded,Improved/expanded,,,,,,,,,,,,,Yes,,,Long delays in getting planning approvals,,,Yes,,,,,,,,,,,,,Continuing innovation in Build To Rent being one of the first organizations to set up large scale Build to Rent b,1:1 mentoring,,Worse off,Worse off,Worse off,Yes,Yes,Yes,,,,,Yes,Yes,,,,,,,,No,,Yes,3020,Non-Residential Building Construction,Property Development and Operation,General Construction,475
2010,Darlinghurst,Property Management,6 to 10,No,1,2,2,WFH has not necessarily impacted my business.  Lock downs did however the damage is slowly being reversed now that borders have reopened.,Remained the same,Increase,,,,,Yes,,,Split between locations (hybrid),,Improved/expanded,No change,New,New,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,Online webinars or live streaming,,Better off,Better off,Worse off,Yes,Yes,,,,,,Yes,Yes,Yes,,,,,,,No,,Yes,6712,Non-Residential Property Operators,Property Development and Operation,Property Services,476
2000,The Rocks,Restaurant,> 10,No,20,15,30,Massive. Big drop in trade,Increased,Increase,Yes,Yes,,,,,,Business premises,,New,No change,Improved/expanded,No change,,,,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,,,,,,,,,,,,,Yes,,,No,,No,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,477
2017,Waterloo,Property Management Real Estate,1 to 5,No,2,,,"Not such a concern for us as we work from home, we note many of our clients - tenants and owners work from home.  CBD Impact is obvious though with little foot traffic throughthe week.",Remained the same,Remain the same,,,,,Yes,,,Fully remote,,Improved/expanded,No change,Improved/expanded,No change,,,,,,,,,,,,,,,,Better accessibility and parking for businesses that need to drive for work i.e visitor permits or temporary permits for people who frequent all suburbs in the council Area.,,Yes,,,,,Yes,,,,,,,,,,In-person events,,Better off,Better off,Worse off,Yes,,,Yes,,,,,Yes,,,,,,,,No,,No,6712,Non-Residential Property Operators,Property Development and Operation,Property Services,478
2010,Surry Hills,Psychological Services,> 10,No,1,,,"more online sessions, less people coming into the office (say 30/70%)",Remained the same,Remain the same,,,,,,,about 30% online,Split between locations (hybrid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8512,Specialist Medical Services,Health,Health - Medical and Dental Services,479
2000,Sydney,Psychologist,1 to 5,No,2,,,Positive   People cancel their sessions less because they can see me online if theyâ€™re unwell or working from home. More flexibility for appointments,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,Improved/expanded,Improved/expanded,Improved/expanded,No change,,,,,,,,Yes,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Worse off,Better off,Yes,Yes,,,,,Paperless notes,,,Yes,,,,,,Yes,,Bulk billing for indigenous clients on Centrelink benefits,Don't know,8512,Specialist Medical Services,Health,Health - Medical and Dental Services,480
2000,Sydney,Psychology Practice,> 10,No,1,2,1,lost millions and regaining momentum,Significantly decreased (more than 50% decline),Increase > 50%,,Yes,,,,,,Split between locations (hybrid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8512,Specialist Medical Services,Health,Health - Medical and Dental Services,481
2022,,Public Affairs,> 10,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7299B,Marketing,Professional and Business Services,PBS - Business Services,482
2010,Surry Hills,Public Relations,> 10,No,20,5,,Improved happiness and productivity but less connection.,Increased,Increase,,,,,,Yes,,Split between locations (hybrid),,New,No change,No change,Improved/expanded,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,Yes,,,,,,,,In-person events,,Better off,Better off,Worse off,Yes,Yes,,,,,,,Yes,Yes,,,,,,Yes,,,No,7299B,Marketing,Professional and Business Services,PBS - Business Services,483
2011,Elizabeth Bay,Public Relations,> 10,No,,,1,Little impact,Decreased,Remain the same,,,,,Yes,,,Split between locations (hybrid),,Improved/expanded,No change,Improved/expanded,New,,,,Yes,,,Yes,,,,,,Yes,,,,,Yes,,Yes,,,,,Yes,,,,,,,,1:1 mentoring,,Worse off,Better off,Worse off,Yes,,,,,,,Yes,Yes,,,,,,,,No,,No,7299B,Marketing,Professional and Business Services,PBS - Business Services,484
2010,Surry Hills,Public Relations,> 10,No,1,,,being able to easily catch up face to face for meetings   also unless you have a mobile number you are reliant on email which can be very slow,Decreased,Remain the same,,,,,,Yes,,Split between locations (hybrid),,No change,No change,No change,No change,mine is a person to person relationship - social media does not have the cut through,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keeping the business I have,In-person events,,Better off,Better off,Better off,,Yes,,,,,,,,,,,,Yes,self employed,,No,,No,7299B,Marketing,Professional and Business Services,PBS - Business Services,485
2000,Haymarket,Public Relations Consultancy,> 10,No,5,3,2,Less creativity in problem solving and inefficiencies in working rhythm,Increased,Increase,,,,,,Yes,,Split between locations (hybrid),,No change,No change,No change,No change,,,,,Yes,,,Yes,,,,,Yes,,Yes,,,,Yes,Yes,,,,,,Yes,,,,,,,In-person events,,Worse off,Worse off,Worse off,Yes,,,,,,No strong recycling or other sustainability offering in building,,Yes,Yes,,,,,,,No,,Don't know,7299B,Marketing,Professional and Business Services,PBS - Business Services,486
2011,Elizabeth Bay,Publishing,> 10,No,7,2,,"small - two work from home, the rest are in the office",Increased,Remain the same,,,,,Yes,,,Business premises,,Improved/expanded,Improved/expanded,Improved/expanded,No change,,,Yes,,,,,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,,,,,,,,,,,,In-person events,,Better off,Worse off,Worse off,Yes,,Yes,,,,,,Yes,,,,,,,,No,,Yes,5412,Magazine and Other Periodical Publishing,Creative Industries,Creative Print and Media,487
2000,Sydney,Quantity Surveyor,> 10,No,350,,,Mostly neutral,Increased,Increase,,,,,Yes,,,Split between locations (hybrid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6922,Surveying and Mapping Services,Professional and Business Services,PBS - Technical Services,488
2000,Barangaroo,Real Estate,6 to 10,No,1,0,0,No impact,Remained the same,Remain the same,,,,,Yes,,,Fully remote,,Improved/expanded,No change,Improved/expanded,No change,,,,,,,,,,,,Yes,,,,,Yes,,Yes,,,Yes,Yes,,Yes,,,,,,,,In-person events,,Worse off,Worse off,Worse off,Yes,,,Yes,,,,,Yes,,,,,,,,No,,No,6720,Real Estate Services,Property Development and Operation,Property Services,489
2016,Redfern,Real Estate,1 to 5,No,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6720,Real Estate Services,Property Development and Operation,Property Services,490
2000,Sydney,Real Estate,> 10,No,1,,,Very little for real estate,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,No change,No change,New,Improved/expanded,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,,,,In-person events,,Worse off,Better off,Worse off,Yes,,,,,,,Yes,,,,,,,,,No,,Don't know,6720,Real Estate Services,Property Development and Operation,Property Services,491
2000,Sydney,Real Estate Property,> 10,No,3,1,,less collaboration,Remained the same,Increase,,,,,Yes,,,Business premises,,Improved/expanded,No change,No change,Improved/expanded,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,In-person events,,Better off,Better off,Worse off,,,,,,Yes,,,,,,,,Yes,"we have a diverse work force by race, based entirely on merit",,No,,No,6720,Real Estate Services,Property Development and Operation,Property Services,492
2000,Sydney,Real Estate Advisory,> 10,No,3,1,,Very little,Remained the same,Increase,,,,,Yes,,,Business premises,,New,No change,No change,Improved/expanded,,,,,,,,,,Yes,,,Yes,,Yes,,,Yes,Yes,,,,,,,,,,Yes,,,,In-person events,,Better off,Better off,Better off,Yes,,,,,,,,Yes,,,,,,,Yes,,we are an equal opportunity employer,Yes,6720,Real Estate Services,Property Development and Operation,Property Services,493
2011,Potts Point,Real Estate Agency,> 10,No,25,5,5,We have returned to on site duties,Remained the same,Remain the same,,,,,Yes,,,Business premises,,Improved/expanded,Improved/expanded,No change,No change,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Worse off,Worse off,Yes,,,,,,,,,,,,,Yes,,,No,,No,6720,Real Estate Services,Property Development and Operation,Property Services,494
2000,Sydney,Recruitment,> 10,No,7,,,Very little,Remained the same,Increase,,,,,Yes,,,Split between locations (hybrid),,New,No change,No change,No change,,,,,,,,,,,,,,,,"Stop putting cycle ways in that NOBODY uses, apart from Uber eat deliveries.",,,,,Yes,,,,,,,,,,,,In-person events,,,,,,,,,,,,,,,,,,,,,,,,7211,Employment Placement and Recruitment Services,Professional and Business Services,PBS - Business Services,495
2010,Surry Hills,Restaurant,6 to 10,No,40,30,20,Less trade,Decreased,Increase,,,,,Yes,,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,496
2015,Alexandria,Recruitment,> 10,No,1,,3,None thus far,Decreased,Remain the same,Yes,,,,,,,Split between locations (hybrid),,Improved/expanded,No change,Improved/expanded,Improved/expanded,,,,Yes,Yes,,,,,Yes,,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,,,,,,,,,In-person events,,Worse off,Better off,Worse off,Yes,Yes,,,,,,Yes,Yes,,,,,,,,No,,No,7211,Employment Placement and Recruitment Services,Professional and Business Services,PBS - Business Services,497
2010,Darlinghurst,Food Beverage Pub No Pokies,6 to 10,No,2,,25,"Reduced weekday trade, and no impact on rent (vs. reduced rent for office spaces)",Decreased,Increase,,Yes,,,,,"Security & staffing difficult to find, having to turn away trade",Business premises,,Improved/expanded,No change,No change,Improved/expanded,,,,,,Yes,Yes,Yes,,,,Yes,,Yes,Yes,,,Yes,Yes,,,,,Yes,Yes,,,Yes,,Yes,,,Online webinars or live streaming,,Worse off,Better off,Better off,Yes,,,,,,,Yes,Yes,,,,,,,,No,,Yes,4520,"Pubs, Taverns and Bars","Tourist, Cultural and Leisure",Pubs & Clubs,498
2010,Surry Hills,Recruitment,> 10,No,11,,80,Sorry that question doesn't make any sense.,Increased,Remain the same,,,,,,,Full on,Split between locations (hybrid),,No change,No change,No change,No change,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,None,Other (please describe),-,Better off,Better off,Better off,,,,,,Yes,,,Yes,,,,,,,Yes,,,Yes,7211,Employment Placement and Recruitment Services,Professional and Business Services,PBS - Business Services,499
2000,Sydney,Recruitment,> 10,No,45,,,Big economy down,Significantly decreased (more than 50% decline),Decrease > 50%,,,,,Yes,,,Fully remote,,Improved/expanded,Improved/expanded,Improved/expanded,No change,,,,,,,,,,Yes,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,,,,,,,,1:1 mentoring,,Worse off,Better off,Better off,,,,,,Yes,,,Yes,Yes,,,,,,,No,,Don't know,7211,Employment Placement and Recruitment Services,Professional and Business Services,PBS - Business Services,500
2010,Surry Hills,Recruitment Agency,< 1,No,1,1,,nil,Increased,Increase,,,,,Yes,,,Fully remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7211,Employment Placement and Recruitment Services,Professional and Business Services,PBS - Business Services,501
2000,Sydney,Recruitment Provider,> 10,No,12,,,"No face to face meetings on online, less engagement from staff as we have been working from home. The cafe in our building has gone out of business. parking costs have not decreased. mental health issues more apparent,",Remained the same,Increase,,,,,,,part time from home and part time from the office,Split between locations (hybrid),,No change,No change,Improved/expanded,No change,,,,,,,,,,,,,,,Yes,,,Yes,,Yes,,,,,,,,,Yes,,,,Online webinars or live streaming,,Worse off,Better off,Worse off,,Yes,,,,,Our building does not provide an recyclable initiatives,,Yes,,,,,,,Yes,,,Yes,7211,Employment Placement and Recruitment Services,Professional and Business Services,PBS - Business Services,502
2000,Sydney,Recruitment Career Coaching and Public Affairs,1 to 5,No,2,,1,We've been able to maintain our service levels by switching to online meetings etc. Networking events and business development opportunities have decreased.,Increased,Increase,,,,,Yes,,,Business premises,,New,New,New,New,,,,,Yes,,Yes,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Better off,,,,,,,,,,,,,,,,,,,,7211,Employment Placement and Recruitment Services,Professional and Business Services,PBS - Business Services,503
2000,Sydney,Remedial Therapies,> 10,No,1,,,No clients for face to face appointments.,Remained the same,Remain the same,Yes,,,,,,,Split between locations (hybrid),,No change,,Improved/expanded,No change,,,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,In-person events,,Worse off,Worse off,Worse off,Yes,,,,,,,,,,,,,Yes,,,No,,Don't know,8599,Other Health Care Services n.e.c.,Health,Health - Other Health Services,504
2010,Surry Hills,Research,6 to 10,No,10,1,4,More stress managing people remotely. More computers/screens. Tech support,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,No change,No change,Improved/expanded,No change,,,,Yes,Yes,,,Yes,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,,,Yes,,,,Yes,,,,Online webinars or live streaming,,Worse off,Better off,Worse off,Yes,,,,,,,,Yes,,,,,,,,No,,Yes,6962,Management Advice and Related Consulting Services,Professional and Business Services,PBS - Business Services,505
2000,Sydney,Accountants,> 10,No,30,3,,It has put a strain on our business but it was better than not working at all.  Having people work from home obviously impacts on the surrounding businesses for lunch etc,Remained the same,Remain the same,,,,,Yes,,,Business premises,,No change,No change,Improved/expanded,No change,,,,,,,,Yes,,,,Yes,Yes,,Yes,"Clear the wasted space that you call bike lanes down PItt Street, which has turned into a carpark.  Just yesterday the road was clogged, ambulance was trying to navigate down bike lane and had to reverse back as they had no way of joining back into the road as cars were not moving.  Scared to think what would be the result in case of emergency.",,,,,,,Yes,Yes,Yes,,,,Yes,,,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,,Yes,,,,,,,,,,,,"Employ people on their merits regardless of sex, race or beliefs.  We have a very diverse employment workplace",,No,,Don't know,6932,Accounting Services,Finance and Financial Services,Financial Services,506
2000,Barangaroo,Research and Data Sales,> 10,No,200,0,0,We operate in a hybrid work model. Isolation has caused some mental health issues.,Increased,Remain the same,,,,,,,Hybrid WFH model 2 days per week,Business premises,,Improved/expanded,Improved/expanded,Improved/expanded,No change,,,,,,,,,,,,,,,Yes,Spreading up Visa application processes,,,,,,,,Yes,,Yes,,,,,,Retention,Other (please describe),Mix of online and in person,Better off,Worse off,Worse off,Yes,,,Yes,Yes,,,,Yes,,,,,,,,No,,Yes,6962,Management Advice and Related Consulting Services,Professional and Business Services,PBS - Business Services,507
2000,Sydney,Research Consulting,> 10,No,20,0,0,"Our overheads have been enormously reduced, and our capability to serve clients, who are equally remote as we are, has increased business",Increased,Increase,,,Yes,Yes,Yes,Yes,,Fully remote,,No change,No change,No change,No change,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,Yes,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Better off,,,,,,,"We don't have an office, therefore our impacts are based on individual home / practice",,Yes,Yes,,,,,,,No,,Don't know,6962,Management Advice and Related Consulting Services,Professional and Business Services,PBS - Business Services,508
